county,region,candidate,party,votes,is_winner
南投縣,南投縣第1選舉區,馬文君,中國國民黨,68890,True
南投縣,南投縣第1選舉區,蔡銘軒,民主進步黨,50886,False
南投縣,南投縣第1選舉區,許文忠,勞動黨,3577,False
南投縣,南投縣第1選舉區,林金潭,無,3373,False
南投縣,南投縣第1選舉區,李圓恩,小民參政歐巴桑聯盟,3035,False
南投縣,南投縣第2選舉區,游顥,中國國民黨,70012,True
南投縣,南投縣第2選舉區,蔡培慧,民主進步黨,66551,False
南投縣,南投縣第2選舉區,陳癸佑,無,4023,False
嘉義市,嘉義市選舉區,王美惠,民主進步黨,78069,True
嘉義市,嘉義市選舉區,張秀華,中國國民黨,66822,False
嘉義市,嘉義市選舉區,陳玥妗,小民參政歐巴桑聯盟,6232,False
嘉義市,嘉義市選舉區,簡明廉,無,1219,False
嘉義市,嘉義市選舉區,林智勲,臺灣雙語無法黨,990,False
嘉義市,嘉義市選舉區,蔡松益,復康聯盟黨,839,False
嘉義縣,嘉義縣第1選舉區,蔡易餘,民主進步黨,78551,True
嘉義縣,嘉義縣第1選舉區,詹琬蓁,中國國民黨,54097,False
嘉義縣,嘉義縣第2選舉區,陳冠廷,民主進步黨,73598,True
嘉義縣,嘉義縣第2選舉區,林國慶,無,64778,False
嘉義縣,嘉義縣第2選舉區,廖昱婧,無,6601,False
嘉義縣,嘉義縣第2選舉區,簡銘傑,制度救世島,2499,False
嘉義縣,嘉義縣第2選舉區,黃一哲,台灣維新,1213,False
基隆市,基隆市選舉區,林沛祥,中國國民黨,91986,True
基隆市,基隆市選舉區,鄭文婷,民主進步黨,69741,False
基隆市,基隆市選舉區,王醒之,無,37260,False
基隆市,基隆市選舉區,謝海菁,小民參政歐巴桑聯盟,8192,False
基隆市,基隆市選舉區,邱紹祐,家庭基本收入,2361,False
基隆市,基隆市選舉區,黃傑陽,無,1331,False
宜蘭縣,宜蘭縣選舉區,陳俊宇,民主進步黨,107308,True
宜蘭縣,宜蘭縣選舉區,黃琤婷,中國國民黨,86120,False
宜蘭縣,宜蘭縣選舉區,陳琬惠,台灣民眾黨,53499,False
宜蘭縣,宜蘭縣選舉區,林意評,台灣基進,6201,False
宜蘭縣,宜蘭縣選舉區,林錦坤,無,1754,False
宜蘭縣,宜蘭縣選舉區,邱介勲,制度救世島,647,False
屏東縣,屏東縣第1選舉區,鍾佳濱,民主進步黨,108723,True
屏東縣,屏東縣第1選舉區,黃明賢,中國國民黨,88518,False
屏東縣,屏東縣第1選舉區,蔣月惠,無,25270,False
屏東縣,屏東縣第1選舉區,曾鈺庭,無,1158,False
屏東縣,屏東縣第1選舉區,張庭源,台灣維新,496,False
屏東縣,屏東縣第1選舉區,李孟翰,中華統一促進黨,464,False
屏東縣,屏東縣第2選舉區,徐富癸,民主進步黨,108923,True
屏東縣,屏東縣第2選舉區,蘇孟淳,無,82147,False
屏東縣,屏東縣第2選舉區,何秋葺,人民最大黨,8845,False
屏東縣,屏東縣第2選舉區,吳媚宮,中華聯合黨,4139,False
彰化縣,彰化縣第1選舉區,陳秀寳,民主進步黨,98437,True
彰化縣,彰化縣第1選舉區,阮厚爵,中國國民黨,76448,False
彰化縣,彰化縣第1選舉區,蘇群傑,無,5503,False
彰化縣,彰化縣第2選舉區,黃秀芳,民主進步黨,90688,True
彰化縣,彰化縣第2選舉區,楊曜聰,中國國民黨,81403,False
彰化縣,彰化縣第3選舉區,謝衣鳯,中國國民黨,97681,True
彰化縣,彰化縣第3選舉區,吳音寧,民主進步黨,78473,False
彰化縣,彰化縣第3選舉區,洪建興,無,4908,False
彰化縣,彰化縣第3選舉區,桂麗娜,中華統一促進黨,683,False
彰化縣,彰化縣第4選舉區,陳素月,民主進步黨,97608,True
彰化縣,彰化縣第4選舉區,鄭俊雄,中國國民黨,83214,False
彰化縣,彰化縣第4選舉區,鄭錫懋,臺灣雙語無法黨,4257,False
彰化縣,彰化縣第4選舉區,蔡念諶,中華文化共和黨,2583,False
新北市,新北市第10選舉區,吳琪銘,民主進步黨,103437,True
新北市,新北市第10選舉區,林金結,中國國民黨,95147,False
新北市,新北市第10選舉區,孟藹倫,人民最大黨,3319,False
新北市,新北市第10選舉區,袁興,復康聯盟黨,2608,False
新北市,新北市第11選舉區,羅明才,中國國民黨,123399,True
新北市,新北市第11選舉區,曾柏瑜,民主進步黨,76237,False
新北市,新北市第11選舉區,張家榛,人民最大黨,4038,False
新北市,新北市第11選舉區,鄭添泉,無,2208,False
新北市,新北市第11選舉區,陳聖,中華婦女黨,1029,False
新北市,新北市第11選舉區,魏趨安,制度救世島,915,False
新北市,新北市第12選舉區,廖先翔,中國國民黨,92489,True
新北市,新北市第12選舉區,賴品妤,民主進步黨,81937,False
新北市,新北市第12選舉區,李佳蒨,臺灣雙語無法黨,3170,False
新北市,新北市第12選舉區,黃瑞傳,無,2348,False
新北市,新北市第12選舉區,楊木火,無,1023,False
新北市,新北市第12選舉區,陳長志,台灣維新,980,False
新北市,新北市第1選舉區,洪孟楷,中國國民黨,158596,True
新北市,新北市第1選舉區,何博文,民主進步黨,106454,False
新北市,新北市第1選舉區,徐百弟,台灣維新,2633,False
新北市,新北市第1選舉區,游清池,制度救世島,1867,False
新北市,新北市第1選舉區,翁藤原,中華統一促進黨,570,False
新北市,新北市第2選舉區,林淑芬,民主進步黨,118544,True
新北市,新北市第2選舉區,李有宜,台灣民眾黨,84393,False
新北市,新北市第2選舉區,何淯笙,中華統一促進黨,4845,False
新北市,新北市第3選舉區,李坤城,民主進步黨,100141,True
新北市,新北市第3選舉區,蔡明堂,中國國民黨,79828,False
新北市,新北市第3選舉區,蘇卿彥,無,4805,False
新北市,新北市第3選舉區,陳東雲,無,3094,False
新北市,新北市第4選舉區,吳秉叡,民主進步黨,107772,True
新北市,新北市第4選舉區,蔣欣璋,中國國民黨,89121,False
新北市,新北市第4選舉區,洪懿馥,無,14840,False
新北市,新北市第4選舉區,蘇輝湟,無,1924,False
新北市,新北市第4選舉區,邱吉均,制度救世島,1002,False
新北市,新北市第5選舉區,蘇巧慧,民主進步黨,98586,True
新北市,新北市第5選舉區,洪佳君,中國國民黨,83424,False
新北市,新北市第6選舉區,張宏陸,民主進步黨,78847,True
新北市,新北市第6選舉區,林國春,中國國民黨,74652,False
新北市,新北市第6選舉區,黃淑珍,司法改革黨,7450,False
新北市,新北市第7選舉區,葉元之,中國國民黨,78134,True
新北市,新北市第7選舉區,羅致政,民主進步黨,75841,False
新北市,新北市第7選舉區,劉書婷,小民參政歐巴桑聯盟,15479,False
新北市,新北市第8選舉區,張智倫,中國國民黨,89808,True
新北市,新北市第8選舉區,吳崢,民主進步黨,77763,False
新北市,新北市第8選舉區,邱臣遠,台灣民眾黨,42759,False
新北市,新北市第9選舉區,林德福,中國國民黨,98260,True
新北市,新北市第9選舉區,莊銘淵,民主進步黨,50613,False
新北市,新北市第9選舉區,陳愷寧,台灣維新,21345,False
新竹市,新竹市選舉區,鄭正鈐,中國國民黨,92014,True
新竹市,新竹市選舉區,林志潔,民主進步黨,83298,False
新竹市,新竹市選舉區,柯美蘭,無,51663,False
新竹市,新竹市選舉區,邱顯智,時代力量,33023,False
新竹市,新竹市選舉區,楊清華,司法改革黨,566,False
新竹市,新竹市選舉區,王榮德,無,405,False
新竹市,新竹市選舉區,趙福龍,制度救世島,249,False
新竹縣,新竹縣第1選舉區,徐欣瑩,中國國民黨,84959,True
新竹縣,新竹縣第1選舉區,詹紀緹,民主進步黨,45445,False
新竹縣,新竹縣第1選舉區,余筱菁,台灣綠黨,15557,False
新竹縣,新竹縣第1選舉區,劉台穠,小民參政歐巴桑聯盟,4610,False
新竹縣,新竹縣第1選舉區,劉復嵐,台灣維新,1392,False
新竹縣,新竹縣第2選舉區,林思銘,中國國民黨,76608,True
新竹縣,新竹縣第2選舉區,王婉諭,時代力量,63566,False
新竹縣,新竹縣第2選舉區,曾聖凱,民主進步黨,30738,False
桃園市,桃園市第1選舉區,牛煦庭,中國國民黨,116571,True
桃園市,桃園市第1選舉區,鄭運鵬,民主進步黨,103466,False
桃園市,桃園市第1選舉區,馬治薇,無,20600,False
桃園市,桃園市第2選舉區,涂權吉,中國國民黨,103697,True
桃園市,桃園市第2選舉區,黃世杰,民主進步黨,102468,False
桃園市,桃園市第2選舉區,王思玟,無,7127,False
桃園市,桃園市第2選舉區,陳志豪,中華統一促進黨,1912,False
桃園市,桃園市第3選舉區,魯明哲,中國國民黨,102056,True
桃園市,桃園市第3選舉區,彭俊豪,民主進步黨,95581,False
桃園市,桃園市第3選舉區,徐鶯慈,小民參政歐巴桑聯盟,11258,False
桃園市,桃園市第3選舉區,游智彬,新黨,8280,False
桃園市,桃園市第3選舉區,戴浙,制度救世島,721,False
桃園市,桃園市第4選舉區,萬美玲,中國國民黨,119430,True
桃園市,桃園市第4選舉區,范綱祥,民主進步黨,83183,False
桃園市,桃園市第4選舉區,黃明莉,無,9426,False
桃園市,桃園市第4選舉區,甘乃迪,台灣國民黨,3293,False
桃園市,桃園市第5選舉區,呂玉玲,中國國民黨,89372,True
桃園市,桃園市第5選舉區,劉仁照,民主進步黨,69022,False
桃園市,桃園市第5選舉區,賴香伶,台灣民眾黨,43691,False
桃園市,桃園市第5選舉區,易乃文,司法改革黨,1580,False
桃園市,桃園市第6選舉區,邱若華,中國國民黨,81513,True
桃園市,桃園市第6選舉區,趙正宇,無,76346,False
桃園市,桃園市第6選舉區,李慕妍,台灣民眾黨,35183,False
桃園市,桃園市第6選舉區,劉睿宸,復康聯盟黨,2689,False
桃園市,桃園市第6選舉區,葉堂宇,無,2523,False
桃園市,桃園市第6選舉區,翁紹庭,人民最大黨,890,False
澎湖縣,澎湖縣選舉區,楊曜,民主進步黨,24669,True
澎湖縣,澎湖縣選舉區,吳政杰,中國國民黨,20226,False
澎湖縣,澎湖縣選舉區,陳慧娟,無,3525,False
臺中市,臺中市第1選舉區,蔡其昌,民主進步黨,79884,True
臺中市,臺中市第1選舉區,蔡壁如,台灣民眾黨,72634,False
臺中市,臺中市第1選舉區,劉燈鐘,無,4685,False
臺中市,臺中市第1選舉區,賴信全,無,3742,False
臺中市,臺中市第2選舉區,顏寬恒,中國國民黨,118962,True
臺中市,臺中市第2選舉區,林靜儀,民主進步黨,96151,False
臺中市,臺中市第2選舉區,洪麗華,司法正義黨,6331,False
臺中市,臺中市第2選舉區,紀銘修,無,2232,False
臺中市,臺中市第3選舉區,楊瓊瓔,中國國民黨,106306,True
臺中市,臺中市第3選舉區,謝子涵,民主進步黨,80128,False
