county,candidate,party,votes,county_total,vote_share,is_winner
南投縣,侯友宜/趙少康,中國國民黨,109163,287296,0.37996700267320116,True
南投縣,賴清德/蕭美琴,民主進步黨,103279,287296,0.35948638338159944,False
南投縣,柯文哲/吳欣盈,台灣民眾黨,74854,287296,0.2605466139451994,False
嘉義市,賴清德/蕭美琴,民主進步黨,68199,157656,0.4325810625666007,True
嘉義市,侯友宜/趙少康,中國國民黨,49507,157656,0.3140191302582839,False
嘉義市,柯文哲/吳欣盈,台灣民眾黨,39950,157656,0.25339980717511545,False
嘉義縣,賴清德/蕭美琴,民主進步黨,139510,292534,0.4769018302146075,True
嘉義縣,侯友宜/趙少康,中國國民黨,85642,292534,0.2927591322718043,False
嘉義縣,柯文哲/吳欣盈,台灣民眾黨,67382,292534,0.23033903751358817,False
基隆市,侯友宜/趙少康,中國國民黨,84507,218781,0.3862629753040712,True
基隆市,賴清德/蕭美琴,民主進步黨,76079,218781,0.34774043449842534,False
基隆市,柯文哲/吳欣盈,台灣民眾黨,58195,218781,0.26599659019750344,False
宜蘭縣,賴清德/蕭美琴,民主進步黨,119517,267129,0.4474130476286738,True
宜蘭縣,侯友宜/趙少康,中國國民黨,77441,267129,0.2899011339090851,False
宜蘭縣,柯文哲/吳欣盈,台灣民眾黨,70171,267129,0.2626858184622411,False
屏東縣,賴清德/蕭美琴,民主進步黨,226110,475927,0.47509386943796,True
屏東縣,侯友宜/趙少康,中國國民黨,146789,475927,0.3084275529650556,False
屏東縣,柯文哲/吳欣盈,台灣民眾黨,103028,475927,0.2164785775969844,False
彰化縣,賴清德/蕭美琴,民主進步黨,282514,741368,0.3810712089003032,True
彰化縣,侯友宜/趙少康,中國國民黨,244140,741368,0.32931014017330124,False
彰化縣,柯文哲/吳欣盈,台灣民眾黨,214714,741368,0.28961865092639555,False
新北市,賴清德/蕭美琴,民主進步黨,948818,2458480,0.38593683902248543,True
新北市,侯友宜/趙少康,中國國民黨,864557,2458480,0.3516632228043344,False
新北市,柯文哲/吳欣盈,台灣民眾黨,645105,2458480,0.2623999381731802,False
新竹市,賴清德/蕭美琴,民主進步黨,92679,266389,0.3479085097357624,True
新竹市,柯文哲/吳欣盈,台灣民眾黨,91384,266389,0.343047197894808,False
新竹市,侯友宜/趙少康,中國國民黨,82326,266389,0.30904429236942965,False
新竹縣,侯友宜/趙少康,中國國民黨,126016,340310,0.3702976697716788,True
新竹縣,柯文哲/吳欣盈,台灣民眾黨,120985,340310,0.3555140900943258,False
新竹縣,賴清德/蕭美琴,民主進步黨,93309,340310,0.27418824013399545,False
桃園市,賴清德/蕭美琴,民主進步黨,476441,1350792,0.3527123346895747,True
桃園市,侯友宜/趙少康,中國國民黨,460823,1350792,0.34115022890274743,False
桃園市,柯文哲/吳欣盈,台灣民眾黨,413528,1350792,0.3061374364076779,False
澎湖縣,賴清德/蕭美琴,民主進步黨,19023,49277,0.3860421697749457,True
澎湖縣,侯友宜/趙少康,中國國民黨,18052,49277,0.3663372364389066,False
澎湖縣,柯文哲/吳欣盈,台灣民眾黨,12202,49277,0.2476205937861477,False
臺中市,賴清德/蕭美琴,民主進步黨,641622,1707203,0.37583228239406796,True
臺中市,侯友宜/趙少康,中國國民黨,552556,1707203,0.32366156807362684,False
臺中市,柯文哲/吳欣盈,台灣民眾黨,513025,1707203,0.3005061495323052,False
臺北市,賴清德/蕭美琴,民主進步黨,587899,1542011,0.38125473813092126,True
臺北市,侯友宜/趙少康,中國國民黨,587258,1542011,0.38083904719227035,False
臺北市,柯文哲/吳欣盈,台灣民眾黨,366854,1542011,0.2379062146768084,False
臺南市,賴清德/蕭美琴,民主進步黨,570811,1120238,0.5095444003863465,True
臺南市,侯友宜/趙少康,中國國民黨,286867,1120238,0.2560768336728445,False
臺南市,柯文哲/吳欣盈,台灣民眾黨,262560,1120238,0.234378765940809,False
臺東縣,侯友宜/趙少康,中國國民黨,54220,109941,0.49317361130060666,True
臺東縣,賴清德/蕭美琴,民主進步黨,30131,109941,0.2740651804149498,False
臺東縣,柯文哲/吳欣盈,台灣民眾黨,25590,109941,0.23276120828444347,False
花蓮縣,侯友宜/趙少康,中國國民黨,87953,174157,0.5050213313274804,True
花蓮縣,賴清德/蕭美琴,民主進步黨,43157,174157,0.24780514133798814,False
花蓮縣,柯文哲/吳欣盈,台灣民眾黨,43047,174157,0.2471735273345315,False
苗栗縣,侯友宜/趙少康,中國國民黨,131230,318665,0.41181177725824925,True
苗栗縣,柯文哲/吳欣盈,台灣民眾黨,95637,318665,0.3001176784397408,False
苗栗縣,賴清德/蕭美琴,民主進步黨,91798,318665,0.28807054430200996,False
連江縣,侯友宜/趙少康,中國國民黨,3860,6159,0.6267251177139146,True
連江縣,柯文哲/吳欣盈,台灣民眾黨,1651,6159,0.26806299723981164,False
連江縣,賴清德/蕭美琴,民主進步黨,648,6159,0.10521188504627374,False
金門縣,侯友宜/趙少康,中國國民黨,28005,45612,0.6139831623257037,True
金門縣,柯文哲/吳欣盈,台灣民眾黨,13038,45612,0.2858458300447251,False
金門縣,賴清德/蕭美琴,民主進步黨,4569,45612,0.10017100762957117,False
雲林縣,賴清德/蕭美琴,民主進步黨,169516,380619,0.4453692537682039,True
雲林縣,侯友宜/趙少康,中國國民黨,111633,380619,0.2932932932932933,False
雲林縣,柯文哲/吳欣盈,台灣民眾黨,99470,380619,0.2613374529385028,False
高雄市,賴清德/蕭美琴,民主進步黨,800390,1636962,0.48894843007962313,True
高雄市,侯友宜/趙少康,中國國民黨,478476,1636962,0.29229511741873054,False
高雄市,柯文哲/吳欣盈,台灣民眾黨,358096,1636962,0.21875645250164635,False
