county,total_voted,total_eligible,turnout
新竹市,268127,359465,0.7459057210020447
臺北市,1552592,2090062,0.7428449490972038
臺中市,1719917,2328896,0.738511724010003
新竹縣,342752,466558,0.7346396375155929
嘉義市,158595,217549,0.7290081774680647
新北市,2476077,3402064,0.7278161139825706
彰化縣,747757,1032636,0.724124473677075
桃園市,1359689,1882592,0.7222430563818395
臺南市,1128215,1567432,0.7197856111142301
苗栗縣,320991,447767,0.7168706045778273
高雄市,1647466,2312303,0.7124784251890863
南投縣,289514,407149,0.7110762890244112
宜蘭縣,269054,379026,0.7098563159255565
基隆市,220365,312207,0.7058297860073605
屏東縣,479379,681631,0.7032822744270727
嘉義縣,294998,423199,0.6970668645247271
雲林縣,384037,560296,0.6854180647372103
花蓮縣,176018,267824,0.6572151860923592
臺東縣,110836,178728,0.620137863121615
澎湖縣,49750,92642,0.537013449623281
連江縣,6201,12083,0.5132003641479765
金門縣,45981,126422,0.36371043014665166
